epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.715,1.55612,2.01165,1.40404,0.56325,0.63945,0.61051,0.35244,1.60289,1.36274,1.44729,0.0033316,0.0033316,0.0033316
2,412.656,1.52157,1.39481,1.34271,0.57988,0.5451,0.53782,0.28274,1.676,1.55023,1.52651,0.00664294,0.00664294,0.00664294
3,605.796,1.61195,1.55588,1.40594,0.46231,0.55707,0.50948,0.25447,1.74026,1.57307,1.57376,0.00993228,0.00993228,0.00993228
4,800.75,1.62981,1.58984,1.4279,0.62657,0.59269,0.59018,0.32067,1.59633,1.35774,1.46666,0.009901,0.009901,0.009901
5,996.519,1.57463,1.46998,1.39129,0.67993,0.63274,0.64332,0.35731,1.54941,1.24511,1.42239,0.009868,0.009868,0.009868
6,1192.01,1.5359,1.37669,1.36737,0.68261,0.64336,0.65691,0.37928,1.50426,1.16359,1.39668,0.009835,0.009835,0.009835
7,1385.15,1.51072,1.32497,1.34801,0.64186,0.69276,0.67316,0.39358,1.4742,1.1336,1.37899,0.009802,0.009802,0.009802
8,1578.97,1.48627,1.28006,1.33297,0.72207,0.70377,0.70025,0.41315,1.46592,1.05249,1.36573,0.009769,0.009769,0.009769
9,1772.04,1.46965,1.24629,1.32073,0.64622,0.71512,0.70918,0.42476,1.44079,1.02491,1.34482,0.009736,0.009736,0.009736
10,1965.01,1.45333,1.21556,1.30698,0.71721,0.72193,0.706,0.42633,1.42494,1.00955,1.33148,0.009703,0.009703,0.009703
11,2155.73,1.44314,1.19579,1.29805,0.74096,0.72973,0.72431,0.44155,1.40241,0.96744,1.31635,0.00967,0.00967,0.00967
12,2346.13,1.43044,1.1696,1.29326,0.71138,0.75041,0.731,0.44751,1.3919,0.94528,1.31218,0.009637,0.009637,0.009637
13,2536.38,1.42404,1.15477,1.28904,0.65166,0.75618,0.74042,0.45862,1.37928,0.9298,1.29231,0.009604,0.009604,0.009604
14,2726.46,1.40892,1.14032,1.27971,0.69905,0.74978,0.7424,0.46276,1.36431,0.92079,1.28243,0.009571,0.009571,0.009571
15,2917.02,1.40483,1.12979,1.27403,0.66779,0.78774,0.7466,0.46527,1.35709,0.90277,1.27614,0.009538,0.009538,0.009538
16,3107.22,1.40132,1.12027,1.27007,0.74555,0.7498,0.75108,0.47104,1.3521,0.89171,1.26861,0.009505,0.009505,0.009505
17,3297.43,1.39066,1.10152,1.26679,0.71705,0.76446,0.75016,0.47459,1.34096,0.8801,1.26287,0.009472,0.009472,0.009472
